,prime,target,target.RT,target_freq,bin,bin_index,mean_freq
82,adventure,electric,715.4193548387096,52.48074602497723,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
83,adventure,journey,624.9032258064516,44.668359215096345,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
84,adventurous,adolescent,807.8620689655172,3.801893963205613,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
85,adventurous,daring,795.741935483871,5.011872336272725,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
86,adverb,adjective,714.3125,2.1877616239495516,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
87,adverb,mom,615.8064516129032,131.82567385564073,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
88,adversary,enemy,857.551724137931,50.11872336272725,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
89,adversary,wide,667.9333333333333,91.20108393559097,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
90,advertisement,great,708.15625,758.5775750291835,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
91,advertisement,newspaper,730.7878787878788,39.81071705534969,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
92,advise,advice,739.4516129032259,75.85775750291836,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
93,advise,kitchen,637.21875,44.668359215096345,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
94,affair,cheat,639.1333333333333,11.481536214968818,"(10.0, 13.182567385564074]",q4,11.591283692782037
95,affair,window,637.03125,63.0957344480193,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
96,africa,continent,763.8620689655172,11.748975549395302,"(10.0, 13.182567385564074]",q4,11.591283692782037
97,africa,get,788.551724137931,1905.4607179632483,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
98,after,before,577.6129032258065,851.1380382023759,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
99,after,sunset,636.96875,10.964781961431852,"(10.0, 13.182567385564074]",q4,11.591283692782037
100,again,hot,567.2258064516129,144.5439770745928,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
101,again,repeat,632.8275862068965,30.90295432513592,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
102,against,for,637.6333333333333,10232.929922807536,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
103,against,time,529.1612903225806,1949.8445997580454,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
104,age,helper,784.7692307692307,2.570395782768865,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
105,age,old,644.0322580645161,562.341325190349,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
106,agency,bracelet,734.0689655172414,5.011872336272725,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
107,agency,company,661.0,398.1071705534969,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
108,agenda,arrogant,762.6666666666666,5.4954087385762485,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
109,agenda,schedule,642.060606060606,46.77351412871981,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
110,agree,disagree,657.2121212121212,12.30268770812381,"(10.0, 13.182567385564074]",q4,11.591283692782037
111,agree,light,602.875,213.79620895022325,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
112,agreement,disagreement,665.84375,4.570881896148752,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
113,agreement,high,638.741935483871,562.341325190349,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
114,agriculture,carry,650.3225806451613,77.62471166286912,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
115,agriculture,farm,606.71875,56.23413251903491,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
116,ahead,armor,903.1333333333332,9.332543007969914,"(7.244359600749899, 10.0]",q3,8.62217980037495
117,ahead,behind,645.34375,194.98445997580455,"(144.5439770745928, 199.52623149688787]",q15,172.03510428574032
118,ahoy,crazy,693.8787878787879,117.48975549395303,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
119,ahoy,ship,621.939393939394,85.11380382023759,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
120,aim,president,654.1333333333333,281.8382931264455,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
121,aim,toothpaste,680.7142857142857,2.344228815319923,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
122,air,breathe,646.5,18.197008586099827,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
123,air,murder,706.0,72.44359600749905,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
124,aircraft,pilot,686.8095238095239,33.11311214825908,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
125,airplane,communist,876.4285714285714,20.892961308540407,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
126,airplane,fly,569.9090909090909,56.23413251903491,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
127,airport,leaves,729.6875,61.65950018614822,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
128,airport,plane,703.6333333333333,52.48074602497723,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
129,alarm,am,918.1176470588236,602.5595860743581,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
130,alarm,morning,752.6875,213.79620895022325,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
131,album,less,674.8125,309.0295432513592,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
132,album,record,596.3548387096774,162.18100973589299,"(144.5439770745928, 199.52623149688787]",q15,172.03510428574032
133,alcohol,drink,672.030303030303,79.43282347242821,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
134,alcohol,sticky,725.28125,6.30957344480193,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
135,algae,pool,555.0,46.77351412871981,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
136,algae,theory,676.1875,75.85775750291836,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
137,alive,create,589.6875,104.71285480508985,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
138,alive,live,582.2666666666667,346.73685045253166,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
139,all,none,625.1290322580645,85.11380382023759,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
140,all,towel,719.34375,8.709635899560805,"(7.244359600749899, 10.0]",q3,8.62217980037495
141,allegiance,pledge,599.8709677419355,10.0,"(7.244359600749899, 10.0]",q3,8.62217980037495
142,allegiance,spot,695.0666666666667,77.62471166286912,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
143,allergy,sneeze,696.6875,1.5488166189124812,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
144,allergy,top,673.8709677419355,371.53522909717276,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
145,alligator,river,646.6129032258065,107.1519305237607,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
146,alligator,sugar,714.3870967741935,47.863009232263806,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
147,allow,let,641.9666666666667,398.1071705534969,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
148,allow,seven,625.5,120.22644346174131,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
