Unnamed: 0,prime,target,target.RT,avg_neigh_cos
123,air,murder,706.0,0.41210526315789475
124,aircraft,pilot,686.8095238095239,0.5736842105263158
125,airplane,communist,876.4285714285714,0.4852631578947369
126,airplane,fly,569.9090909090909,0.4852631578947369
127,airport,leaves,729.6875,0.4978947368421052
128,airport,plane,703.6333333333333,0.4978947368421052
129,alarm,am,918.1176470588236,0.44789473684210523
130,alarm,morning,752.6875,0.44789473684210523
131,album,less,674.8125,0.5142105263157895
132,album,record,596.3548387096774,0.5142105263157895
133,alcohol,drink,672.030303030303,0.5152631578947369
134,alcohol,sticky,725.28125,0.5152631578947369
135,algae,pool,555.0,0.5131578947368421
136,algae,theory,676.1875,0.5131578947368421
137,alive,create,589.6875,0.5136842105263157
138,alive,live,582.2666666666667,0.5136842105263157
139,all,none,625.1290322580645,0.661578947368421
140,all,towel,719.34375,0.661578947368421
141,allegiance,pledge,599.8709677419355,0.41736842105263156
142,allegiance,spot,695.0666666666667,0.41736842105263156
143,allergy,sneeze,696.6875,0.5136842105263157
144,allergy,top,673.8709677419355,0.5136842105263157
145,alligator,river,646.6129032258065,0.4626315789473684
146,alligator,sugar,714.3870967741935,0.4626315789473684
147,allow,let,641.9666666666667,0.508421052631579
148,allow,seven,625.5,0.508421052631579
149,almanac,devil,589.9333333333333,0.35052631578947363
150,almanac,map,650.3103448275862,0.35052631578947363
151,alone,lonely,656.6060606060606,0.5968421052631578
152,alone,movement,725.7575757575758,0.5968421052631578
153,alphabet,kids,606.84375,0.46684210526315784
154,alphabet,letters,786.9677419354839,0.46684210526315784
155,alter,change,606.6774193548387,0.3957894736842105
156,alter,deer,641.9032258064516,0.3957894736842105
157,alto,ground,662.875,0.38894736842105265
158,alto,soprano,672.9230769230769,0.38894736842105265
159,always,forever,612.8484848484849,0.6284210526315789
160,always,lettuce,836.9,0.6284210526315789
161,amateur,beginner,697.625,0.3910526315789474
162,amateur,company,664.71875,0.3910526315789474
163,amaze,all,665.84375,0.36894736842105263
164,amaze,wonder,732.9032258064516,0.36894736842105263
165,ambition,goal,643.6666666666666,0.45894736842105266
166,ambition,talking,699.258064516129,0.45894736842105266
167,ambulance,emergency,647.6666666666666,0.47789473684210526
168,ambulance,scissors,747.1290322580645,0.47789473684210526
171,amount,lot,664.46875,0.391578947368421
172,amount,past,607.2258064516129,0.391578947368421
173,amp,electricity,709.4516129032259,0.44000000000000006
174,amp,poetry,800.2413793103449,0.44000000000000006
175,amuse,beer,557.0,0.41947368421052633
176,amuse,joke,587.28125,0.41947368421052633
177,analysis,data,709.4333333333333,0.44263157894736843
178,analysis,mom,607.53125,0.44263157894736843
179,anarchy,chaos,794.4333333333333,0.4378947368421053
180,anarchy,worm,776.34375,0.4378947368421053
181,ancestor,minus,728.8275862068965,0.47789473684210526
182,ancestor,relative,692.40625,0.47789473684210526
183,ancient,modern,642.125,0.49947368421052635
184,ancient,sight,645.6206896551724,0.49947368421052635
185,angel,fashion,732.0625,0.44684210526315793
186,angel,heaven,547.6333333333333,0.44684210526315793
187,angle,geometry,678.6,0.44263157894736843
188,angle,once,632.4848484848485,0.44263157894736843
189,angry,gamble,707.0,0.5721052631578948
190,angry,sad,554.6129032258065,0.5721052631578948
191,animal,bear,761.3548387096774,0.48315789473684206
192,animal,subtract,822.46875,0.48315789473684206
193,anisette,chair,625.96875,0.6200000000000001
194,anisette,dictionary,767.625,0.6200000000000001
195,ankle,bracelet,762.40625,0.5694736842105264
196,ankle,way,791.8620689655172,0.5694736842105264
197,annihilate,destroy,677.0666666666667,0.4705263157894737
198,annihilate,parent,702.96875,0.4705263157894737
199,announce,marriage,776.0645161290323,0.38
200,announce,sorrow,669.75,0.38
201,annoy,crack,644.0370370370371,0.4410526315789474
202,annoy,sister,643.0,0.4410526315789474
203,annoying,disappear,713.3571428571429,0.5021052631578947
204,annoying,irritating,814.1935483870968,0.5021052631578947
205,annual,once,678.59375,0.4105263157894737
